Type,Level,expected_phoneme
Vowels,Level1,AA
Vowels,Level1,AH
Vowels,Level2,UW
Vowels,Level2,IY
Vowels,Level2,OW
Vowels,Level3,EH
Vowels,Level3,AO
Vowels,Level3,AY
Vowels,Level3,AW
Vowels,Level3,OY
Vowels,Level4,IH
Vowels,Level4,EY
Vowels,Level4,AE
Vowels,Level4,UH
Vowels,Level5,ER
Consonants,Level3,P
Consonants,Level3,M
Consonants,Level3,N
Consonants,Level3,W
Consonants,Level3,HH
Consonants,Level4,B
Consonants,Level4,D
Consonants,Level4,K
Consonants,Level4,G
Consonants,Level4,F
Consonants,Level4,Y
Consonants,Level5,T
Consonants,Level5,R
Consonants,Level5,L
Consonants,Level5,NG
Consonants,Level6,S
Consonants,Level6,Z
Consonants,Level6,SH
Consonants,Level6,ZH
Consonants,Level6,CH
Consonants,Level6,JH
Consonants,Level6,V
Consonants,Level6,TH
Consonants,Level6,DH
